cnpj_fornecedor,fornecedor_na_fonte,comprovantes,valor_brl,deputados,primeiro_comprovante,ultimo_comprovante,as_of
,ALUGUEL GABINETE POLÍTICO - SBN QD 02 LT 12 BL F SL 809-810 | AUTO POSTO LS COMERCIO DE DERIVADOS DE PETROLEO LTDA | Abastecimento 01 | Abastecimento 02 | Abastecimento 04 | Abastecimento 05 | Alessandra das Graças Brants Lopes | Aluguel de Escritório- Apoio atividade Parlamentar | Auto Posto 306 Norte | Auto Posto Cinco Estrelas | Auto Posto Mark Sobradinho | BELIZE COMPANY AUTO POSTO LTDA | Brasal Combustiveis | CAESB | COMERCIAL DE COMBUSTÍVEL MAM LTDA. | Caesb | Cascol Combustíveis | Cascol Combustíveis Colorado | DF LIBRAS ENSINO DE IODIOMAS LTDA | EVAG | FLAVIANE DE JESUS MOTA | GERMANO RUMTHUM FILHO | GMCM Comercio de Combustiveis | GUSTAVO LUIZ SANTOS FRANCO | Google | IPTU COTA 01 | IPTU COTA 02 | IPTU COTA 03 | IPTU COTA 04 | IPTU COTA 05 | IPTU COTA 06 | IPTU SECRETARIA DE ESTADO DE FAZENDA SALA 809 | IPTU SECRETARIA DE ESTADO DE FAZENDA SALA 810 | Jonathas Holanda Barbosa | LOCAÇÃO IMÓVEL | NEOENERGIA | Noécia Martins de Godoi | PLANO IMOVEIS | PRÓ SÍNDICO | Park Bandeira Comercio de Combustíveis | Posto Ceilândia | Posto Nenen | Posto Paraíso | Posto Petrolino | Posto Pioneiro Comercio | Posto Sig | Posto Sobradinho | Posto de Gasolina dos Anões | Posto pit stop | QNL Posto de Combustível LTDA | Rabbit Agencia de Publicidade Ltda | SOMOS COMMU | SUPREMA MOBILIDADE LTDA | Tarifa de Energia -Escritório | Tarifa de água e Esgoto | VIVO | Verso Assessoria de Comunicação Estratégica LTDA,231,995962.52,16,2022-12-23,2026-06-23,2026-08-11T18:09:30
24894397000170,MONON Monitoramento Digital | SUPREMA Locadora | SUPREMA Locadora LTDA | SUPREMA MOBILIDADE | SUPREMA MOBILIDADE LTDA | SUPREMA Mobilidade LTDA | Suprema Mobilidade LTDA | Suprema Mobilidade Ltda | Suprema Veículo,93,455652.83,7,2023-01-01,2026-06-23,2026-08-11T18:09:30
41685059000148,ELDORADO FROTAS LTDA | Eldorado Frotas | Eldorado Frotas Ltda | Eldourado Frotas Ltda,45,255090.00,2,2023-03-31,2026-05-29,2026-08-11T18:09:30
13542814000108,Pro Video Locação e Eventos - LTDA ME | Pro Vídeo Locação e Eventos Ltda | Pro Vídeo Locação e Eventos Ltda Me,39,195000.00,1,2023-02-07,2026-06-02,2026-08-11T18:09:30
52385773000137,Soily Braga - Sociedade Individual de Advocacia,30,164816.00,1,2023-11-06,2026-06-02,2026-08-11T18:09:30
30909939000134,RABBIT AGENCIA DE PUBLICIDADE,22,144700.00,1,2024-03-06,2026-06-02,2026-08-11T18:09:30
26735227000179,GOLD CAR BRASILIA LOCACAO DE VEICULOS LTDA | GOLD CAR BRASILIA LOCADORA DE VEICULO ME | Gold Car Brasília Locadora de Veículos | Gold Car Brasília Locadora de veículos,36,131432.00,4,2023-01-09,2025-02-19,2026-08-11T18:09:30
07557633000144,Germano Comunicações LTDA,13,98550.00,1,2023-01-27,2023-12-26,2026-08-11T18:09:30
13347016000117,FACEBOOK | FACEBOOK SERVIÇOS ONLINE DO BRASIL | FACEBOOK SERVIÇOS ONLINE DO BRASIL LTDA | FACEBOOK Serviços Online do Brasil LTDA | Facebook | Facebook Serviços Online do Brasil Ltda | Facebook Serviços Online do Brasil Ltda.,46,94161.31,6,2023-04-02,2026-06-02,2026-08-11T18:09:30
30727829000151,Bunker Braian Audiovisual | Bunker Brain Audiovisual,11,88000.00,1,2023-03-14,2024-01-02,2026-08-11T18:09:30
