ano,mes,data,deputado_na_fonte,chave,fornecedor,forma_do_registro_na_fonte,cnpj_fornecedor,numero_do_comprovante,valor_brl,classificacao_na_fonte,observacoes,as_of
2023,2023-05,2023-05-02,Deputado Joaquim Roriz Neto,JOAQUIM RORIZ NETO,FACEBOOK Serviços Online do Brasil LTDA,cnpj,13347016000117,62585175.0,500.00,Serviços Online,,2026-08-11T18:09:30
2023,2023-06,2023-06-02,Deputado Joaquim Roriz Neto,JOAQUIM RORIZ NETO,FACEBOOK Serviços Online do Brasil LTDA,cnpj,13347016000117,64250632.0,1000.00,Serviços Online,,2026-08-11T18:09:30
2023,2023-07,2023-07-02,Deputado Joaquim Roriz Neto,JOAQUIM RORIZ NETO,FACEBOOK,cnpj,13347016000117,64907639.0,1500.00,Serviços Online,,2026-08-11T18:09:30
2023,2023-04,2023-04-01,Deputado Joaquim Roriz Neto,JOAQUIM RORIZ NETO,MONOM - Monitoramento Digital LTDA,cnpj,48819584000158,,2500.00,Monitoramento Digital,,2026-08-11T18:09:30
2023,2023-06,2023-06-01,Deputado Joaquim Roriz Neto,JOAQUIM RORIZ NETO,MONOM - Monitoramento Digital LTDA,cnpj,48819584000158,17.0,2500.00,Monitoramento Digital,,2026-08-11T18:09:30
2023,2023-07,2023-07-03,Deputado Joaquim Roriz Neto,JOAQUIM RORIZ NETO,MONOM - Monitoramento Digital LTDA,cnpj,48819584000158,24.0,2500.00,Monitoramento Digital,,2026-08-11T18:09:30
2023,2023-01,2023-01-24,Deputado João Cardoso,JOAO CARDOSO,CLARO NXT TELECOMUNICAÇÕES S.A,cnpj,66970229001805,1036860,183.59,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-01,2023-01-31,Deputado João Cardoso,JOAO CARDOSO,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL,cnpj_sem_zeros_a_esquerda,00082024000137,1036860,91.04,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-01,2023-01-31,Deputado João Cardoso,JOAO CARDOSO,NEOENERGIA DISTRIBUIDORA DE BRASÍLIA,cnpj_sem_zeros_a_esquerda,07522669000192,1036860,208.95,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-02,2023-02-27,Deputado João Cardoso,JOAO CARDOSO,CLARO NXT TELECOMUNICAÇÕES S.A,cnpj,66970229001805,1077483,143.94,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-02,2023-02-28,Deputado João Cardoso,JOAO CARDOSO,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL,cnpj_sem_zeros_a_esquerda,00082024000137,1077483,94.06,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-02,2023-02-28,Deputado João Cardoso,JOAO CARDOSO,NEOENERGIA DISTRIBUIDORA DE BRASÍLIA,cnpj_sem_zeros_a_esquerda,07522669000192,1077483,185.91,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-03,2023-03-20,Deputado João Cardoso,JOAO CARDOSO,CLARO NXT TELECOMUNICAÇÕES S.A,cnpj,66970229001805,1119642,183.59,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-03,2023-03-30,Deputado João Cardoso,JOAO CARDOSO,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL,cnpj_sem_zeros_a_esquerda,00082024000137,1119642,73.18,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-03,2023-03-30,Deputado João Cardoso,JOAO CARDOSO,NEOENERGIA DISTRIBUIDORA DE BRASÍLIA,cnpj_sem_zeros_a_esquerda,07522669000192,1119642,254.14,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-04,2023-04-20,Deputado João Cardoso,JOAO CARDOSO,CLARO NXT TELECOMUNICAÇÕES S.A,cnpj,66970229001805,1164491,183.59,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-04,2023-04-26,Deputado João Cardoso,JOAO CARDOSO,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL,cnpj_sem_zeros_a_esquerda,00082024000137,1164491,59.74,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-04,2023-04-26,Deputado João Cardoso,JOAO CARDOSO,NEOENERGIA DISTRIBUIDORA DE BRASÍLIA,cnpj_sem_zeros_a_esquerda,07522669000192,1164491,258.26,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-05,2023-05-22,Deputado João Cardoso,JOAO CARDOSO,CLARO NXT TELECOMUNICAÇÕES S.A,cnpj,66970229001805,1196941,143.94,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-05,2023-05-30,Deputado João Cardoso,JOAO CARDOSO,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL,cnpj_sem_zeros_a_esquerda,00082024000137,1196941,59.74,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-05,2023-05-30,Deputado João Cardoso,JOAO CARDOSO,NEOENERGIA DISTRIBUIDORA DE BRASÍLIA,cnpj_sem_zeros_a_esquerda,07522669000192,1196941,178.08,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-06,2023-06-20,Deputado João Cardoso,JOAO CARDOSO,CLARO NXT TELECOMUNICAÇÕES S.A,cnpj,66970229001805,1251264,143.94,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-06,2023-06-27,Deputado João Cardoso,JOAO CARDOSO,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL,cnpj_sem_zeros_a_esquerda,00082024000137,1251264,59.74,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-06,2023-06-27,Deputado João Cardoso,JOAO CARDOSO,NEOENERGIA DISTRIBUIDORA DE BRASÍLIA,cnpj_sem_zeros_a_esquerda,07522669000192,1251264,165.30,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-07,2023-07-20,Deputado João Cardoso,JOAO CARDOSO,CLARO NXT TELECOMUNICAÇÕES S.A,cnpj,66970229001805,1279832,143.94,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-07,2023-07-27,Deputado João Cardoso,JOAO CARDOSO,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL,cnpj_sem_zeros_a_esquerda,00082024000137,1279832,59.74,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-07,2023-07-27,Deputado João Cardoso,JOAO CARDOSO,NEOENERGIA DISTRIBUIDORA DE BRASÍLIA,cnpj_sem_zeros_a_esquerda,07522669000192,1279832,171.77,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-08,2023-08-18,Deputado João Cardoso,JOAO CARDOSO,CLARO NXT TELECOMUNICAÇÕES S.A,cnpj,66970229001805,1325217,143.94,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-08,2023-08-28,Deputado João Cardoso,JOAO CARDOSO,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL,cnpj_sem_zeros_a_esquerda,00082024000137,1325217,45.82,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-08,2023-08-28,Deputado João Cardoso,JOAO CARDOSO,NEOENERGIA DISTRIBUIDORA DE BRASÍLIA,cnpj_sem_zeros_a_esquerda,07522669000192,1325217,156.66,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-09,2023-09-19,Deputado João Cardoso,JOAO CARDOSO,CLARO NXT TELECOMUNICAÇÕES S.A,cnpj,66970229001805,1377407,143.94,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-09,2023-09-28,Deputado João Cardoso,JOAO CARDOSO,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL,cnpj_sem_zeros_a_esquerda,00082024000137,1377407,62.76,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-09,2023-09-28,Deputado João Cardoso,JOAO CARDOSO,NEOENERGIA DISTRIBUIDORA DE BRASÍLIA,cnpj_sem_zeros_a_esquerda,07522669000192,1377407,174.76,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-10,2023-10-27,Deputado João Cardoso,JOAO CARDOSO,CLARO NXT TELECOMUNICAÇÕES S.A,cnpj,66970229001805,1413702,143.94,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-10,2023-10-27,Deputado João Cardoso,JOAO CARDOSO,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL,cnpj_sem_zeros_a_esquerda,00082024000137,1413702,62.76,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-10,2023-10-27,Deputado João Cardoso,JOAO CARDOSO,NEOENERGIA DISTRIBUIDORA DE BRASÍLIA,cnpj_sem_zeros_a_esquerda,07522669000192,1413702,235.55,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-11,2023-11-20,Deputado João Cardoso,JOAO CARDOSO,CLARO NXT TELECOMUNICAÇÕES S.A,cnpj,66970229001805,1467385,143.94,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-11,2023-11-29,Deputado João Cardoso,JOAO CARDOSO,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL,cnpj_sem_zeros_a_esquerda,00082024000137,1467385,62.76,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-11,2023-11-29,Deputado João Cardoso,JOAO CARDOSO,NEOENERGIA DISTRIBUIDORA DE BRASÍLIA,cnpj_sem_zeros_a_esquerda,07522669000192,1467385,306.70,Manutenção de Imóveis,,2026-08-11T18:09:30
2023,2023-09,2023-09-30,CHICO VIGILANTE,CHICO VIGILANTE,Alessandra das Graças Brants Lopes,vazio,,Cheque n.º 700364,2200.00,Locação e manutenção imóvel,,2026-08-11T18:09:30
2023,2023-10,2023-10-31,CHICO VIGILANTE,CHICO VIGILANTE,Alessandra das Graças Brants Lopes,vazio,,Cheque n.º 700365,5500.00,Locação e manutenção imóvel,,2026-08-11T18:09:30
2023,2023-01,2023-01-01,Deputado Hermeto,HERMETO,NEOENERGIA,cnpj_sem_zeros_a_esquerda,07522669000192,,234.73,Locação e manutenção de imóveis,,2026-08-11T18:09:30
2023,2023-02,2023-02-06,Deputado Thiago De Araújo Macieira Manzoni,THIAGO MANZONI,ALUGUEL GABINETE POLÍTICO - SBN QD 02 LT 12 BL F SL 809-810,vazio,,1065800.0,2200.00,Locação e manutenção de imóveis,,2026-08-11T18:09:30
2023,2023-02,2023-02-06,Deputado Thiago De Araújo Macieira Manzoni,THIAGO MANZONI,CONDOMÍNIO SALA 809,cnpj_sem_zeros_a_esquerda,04807378000152,1065800.0,595.28,Locação e manutenção de imóveis,,2026-08-11T18:09:30
2023,2023-02,2023-02-06,Deputado Thiago De Araújo Macieira Manzoni,THIAGO MANZONI,CONDOMÍNIO SALA 810,cnpj_sem_zeros_a_esquerda,04807378000152,1065800.0,595.28,Locação e manutenção de imóveis,,2026-08-11T18:09:30
2023,2023-02,2023-02-16,Deputado Thiago De Araújo Macieira Manzoni,THIAGO MANZONI,CONTA DE ENERGIA ELÉTRICA NEOENERGIA SALA 809,cnpj_sem_zeros_a_esquerda,07522669000192,1065800.0,100.66,Locação e manutenção de imóveis,,2026-08-11T18:09:30
2023,2023-02,2023-02-16,Deputado Thiago De Araújo Macieira Manzoni,THIAGO MANZONI,CONTA DE ENERGIA ELÉTRICA NEOENERGIA SALA 810,cnpj_sem_zeros_a_esquerda,07522669000192,1065800.0,28.06,Locação e manutenção de imóveis,,2026-08-11T18:09:30
2023,2023-03,2023-03-06,Deputado Thiago De Araújo Macieira Manzoni,THIAGO MANZONI,CONDOMÍNIO SALA 809,cnpj_sem_zeros_a_esquerda,04807378000152,1113444.0,595.28,Locação e manutenção de imóveis,,2026-08-11T18:09:30
