deputado,chave,ano,mes,locacao_e_manutencao_de_imoveis,locacao_de_maquinas_e_equipamentos,aquisicao_de_material,locacao_de_veiculos,combustivel_e_lubrificante,assessoria_ou_consultoria_juridica,assessoria_ou_consultoria_especializada,divulgacao_de_atividade_parlamentar,outros,soma_das_rubricas,total_no_quadro,rubricas_somam,glosa,teto_mensal_autorizado,linhas_do_painel,as_of
CHICO VIGILANTE,CHICO VIGILANTE,2023,1,0.00,0.00,0.00,0.00,1414.73,0.00,0.00,0.00,0.00,1414.73,1414.73,sim,0.00,17681.99,1,2026-09-01
CHICO VIGILANTE,CHICO VIGILANTE,2023,2,0.00,0.00,0.00,0.00,1154.89,0.00,0.00,0.00,0.00,1154.89,1154.89,sim,0.00,17681.99,1,2026-09-01
CHICO VIGILANTE,CHICO VIGILANTE,2023,3,0.00,0.00,0.00,0.00,1532.14,0.00,0.00,0.00,0.00,1532.14,1532.14,sim,0.00,17681.99,1,2026-09-01
CHICO VIGILANTE,CHICO VIGILANTE,2023,4,0.00,0.00,0.00,0.00,1031.96,0.00,3000.00,0.00,0.00,4031.96,4031.96,sim,0.00,18472.91,1,2026-09-01
CHICO VIGILANTE,CHICO VIGILANTE,2023,5,0.00,0.00,0.00,0.00,1040.05,0.00,3000.00,0.00,0.00,4040.05,4040.05,sim,0.00,18472.91,1,2026-09-01
CHICO VIGILANTE,CHICO VIGILANTE,2023,6,0.00,0.00,0.00,0.00,1189.11,0.00,3000.00,0.00,0.00,4189.11,4189.11,sim,0.00,18472.91,1,2026-09-01
CHICO VIGILANTE,CHICO VIGILANTE,2023,7,0.00,0.00,0.00,0.00,1199.75,0.00,3000.00,0.00,0.00,4199.75,4199.75,sim,0.00,18472.91,1,2026-09-01
CHICO VIGILANTE,CHICO VIGILANTE,2023,8,0.00,0.00,0.00,0.00,1290.87,0.00,3000.00,6280.00,0.00,10570.87,10570.87,sim,0.00,18472.91,1,2026-09-01
CHICO VIGILANTE,CHICO VIGILANTE,2023,9,2200.00,0.00,0.00,0.00,1312.64,0.00,3000.00,0.00,0.00,6512.64,6512.64,sim,0.00,18472.91,1,2026-09-01
CHICO VIGILANTE,CHICO VIGILANTE,2023,10,5591.51,0.00,0.00,0.00,1230.79,0.00,3000.00,0.00,0.00,9822.30,9822.30,sim,0.00,18472.91,1,2026-09-01
