ano,tipo_votacao,co_materia,materia,data,votos_sim,votos_nao,abstencoes,votos_nao_informado,total_votos,as_of,ementa
2023,NOMINAL,1106,VETO TOTAL PROJETO DE LEI Nº 438/2019,2023-04-04,19,0,0,0,19,2026-08-27,"INSTITUI E INCLUI, NO CALENDÁRIO OFICIAL DO DISTRITO FEDERAL, O DIA DOS PROFISSIONAIS DE ENFERMAGEM FORENSE, A SER CELEBRADO ANUALMENTE NO DIA 25 DE NOVEMBRO.  RAZÕES DO VETO TOTAL : INICIATIVA RESERVADA AO CHEFE DO PODER (ART. 71, § 1º DA LEI ORGÂNICA DO DISTRITO FEDERAL) FERE O PRINCÍPIO DA SEPARAÇÃO DOS PODERES INSCRITO NO ART. 2º DA CONSTITUIÇÃO FEDERAL E NOS TERMOS DO ART. 53 DA LEI ORGÂNICA DO DISTRITO FEDERAL."
2023,NOMINAL,1405,VETO TOTAL PROJETO DE LEI Nº 535/2023,2023-10-17,0,23,0,0,23,2026-08-27,NÃO INFORMADO
2023,NOMINAL,5724,1º TURNO PROJETO DE LEI COMPLEMENTAR Nº 127/2022,2023-10-17,22,0,0,0,22,2026-08-27,"ESTABELECE SISTEMA DE CLASSIFICAÇÃO DOS CRÉDITOS INSCRITOS EM DÍVIDA ATIVA DO DISTRITO FEDERAL, SUAS AUTARQUIAS E FUNDAÇÕES, E DÁ OUTRAS PROVIDÊNCIAS."
2023,NOMINAL,5725,2º TURNO PROJETO DE LEI COMPLEMENTAR Nº 127/2022,2023-10-17,21,0,0,0,21,2026-08-27,"ESTABELECE SISTEMA DE CLASSIFICAÇÃO DOS CRÉDITOS INSCRITOS EM DÍVIDA ATIVA DO DISTRITO FEDERAL, SUAS AUTARQUIAS E FUNDAÇÕES, E DÁ OUTRAS PROVIDÊNCIAS."
2023,NOMINAL,6015,VETO TOTAL PROJETO DE LEI 2886/2022,2023-04-12,0,21,0,0,21,2026-08-27,"ESTABELECE O CRÉDITO RESPONSÁVEL E ASSEGURA A GARANTIA DO MÍNIMO EXISTENCIAL PARA OS ENDIVIDADOS DO DISTRITO FEDERAL, COM MEDIDAS NECESSÁRIAS PARA DAR CUMPRIMENTO E EFETIVIDADE AOS ARTS. 6º, XI E XII; 52, §2º; E 54-D DA LEI FEDERAL Nº 8.078, DE 11 DE SETEMBRO DE 1990 - MENSAGEM Nº 262/22 RAZÕES DO VETO: COMPETÊNCIA EXCLUSIVA DA UNIÃO PARA LEGISLAR SOBRE POLÍTICA DE CRÉDITO (ART. 22, VII DA CONSTITUIÇÃO FEDERAL)."
2023,NOMINAL,6037,2º TURNO PROPOSTA DE EMENDA A LEI ORGÂNICA Nº 46/2022,2023-03-21,16,0,0,0,16,2026-08-27,DÁ NOVA REDAÇÃO AO § 1O DO ART. 144 DA LEI ORGÂNICA DO DISTRITO FEDERAL.
2023,NOMINAL,6310,1º TURNO DO PROJETO DE LEI  Nº 3069/2022,2023-06-20,20,3,0,0,23,2026-08-27,"DISPÕE SOBRE A PRESTAÇÃO DOS SERVIÇOS PUBLICOS DE ILUMINAÇÃO PUBLICA NO DISTRITO FEDERAL, EDÁ OUTRAS PROVIDÊNCIAS."
2023,NOMINAL,6365,PROJETO DE DECRETO LEGISLATIVO Nº 177/2021,2023-04-12,14,0,0,0,14,2026-08-27,"DISCUSSÃO E VOTAÇÃO, EM TURNO ÚNICO, DO PROJETO DE DECRETO LEGISLATIVO Nº 177 DE 2021 (PROCESSO Nº 22/20), DE AUTORIA DA COMISSÃO DE ECONOMIA, ORÇAMENTO E FINANÇAS, QUE “ENCAMINHA A PRESTAÇÃO DE CONTAS DO GOVERNO DO DISTRITO FEDERAL, RELATIVA AO EXERCÍCIO DE 2019, EM CONSONÂNCIA COM O INCISO XVII DO ART. 100 DA LEI ORGÂNICA DO DISTRITO FEDERAL."
2023,NOMINAL,6366,BLOCO REQUERIMENTOS 08.02.2023,2023-02-08,13,0,0,0,13,2026-08-27,"REQUERIMENTOS Nº 98, 105, 109, 112, 113, 114, 126, 128 E 141 TODOS DE 2023."
2023,NOMINAL,6379,BLOCO REQUERIMENTOS 21.03.2023,2023-03-21,16,0,0,0,16,2026-08-27,"REQUERIMENTOS DE Nº 194, 237, 244, 245, 246, 247, 255, 256, 257, 265, 269, 287, 294, 308 E 316, TODOS DE 2023, E 1781 DE 2020."
2023,NOMINAL,6381,1º TURNO DO PROJETO DE LEI  Nº 3/2023,2023-03-28,15,0,0,0,15,2026-08-27,"ALTERA A LEI Nº 1.254, DE 8 DE NOVEMBRO DE 1996, QUE DISPÕE QUANTO AO IMPOSTO SOBRE OPERAÇÕES
RELATIVAS À CIRCULAÇÃO DE MERCADORIAS E SOBRE PRESTAÇÕES DE SERVIÇOS DE TRANSPORTE
INTERESTADUAL E INTERMUNICIPAL E DE COMUNICAÇÃO - ICMS, E DÁ OUTRAS PROVIDÊNCIAS."
2023,NOMINAL,6382,2º TURNO DO PROJETO DE LEI  Nº 3/2023,2023-04-12,16,0,0,0,16,2026-08-27,"ALTERA A LEI Nº 1.254, DE 8 DE NOVEMBRO DE 1996, QUE DISPÕE QUANTO AO IMPOSTO SOBRE OPERAÇÕES
RELATIVAS À CIRCULAÇÃO DE MERCADORIAS E SOBRE PRESTAÇÕES DE SERVIÇOS DE TRANSPORTE
INTERESTADUAL E INTERMUNICIPAL E DE COMUNICAÇÃO - ICMS, E DÁ OUTRAS PROVIDÊNCIAS."
2023,NOMINAL,6384,1º TURNO PROJETO DE LEI COMPLEMENTAR Nº 129/2022,2023-03-28,14,0,0,0,14,2026-08-27,"ALTERA A LEI COMPLEMENTAR NO 751, DE 28 DE DEZEMBRO DE 2007, PARA ATUALIZAR A COMPOSIÇÃO DO CONSELHO DE ADMINISTRAÇÃO DO FUNPCDF."
2023,NOMINAL,6385,2º TURNO PROJETO DE LEI COMPLEMENTAR Nº 129/2022,2023-04-12,16,0,0,0,16,2026-08-27,"ALTERA A LEI COMPLEMENTAR NO 751, DE 28 DE DEZEMBRO DE 2007, PARA ATUALIZAR A COMPOSIÇÃO DO CONSELHO DE ADMINISTRAÇÃO DO FUNPCDF."
2023,NOMINAL,6390,1º TURNO PROJETO DE LEI COMPLEMENTAR Nº 141/2022,2023-04-11,19,0,0,0,19,2026-08-27,"AUTORIZA A EXTENSÃO DE USOS E ATIVIDADES PARA OS LOTES DO SETOR COMERCIAL SUL – SCS, NA REGIÃO ADMINISTRATIVA DO PLANO PILOTO – RA I, E DÁ OUTRAS PROVIDÊNCIAS."
2023,NOMINAL,6391,2º TURNO PROJETO DE LEI COMPLEMENTAR Nº 141/2022,2023-04-11,18,0,0,0,18,2026-08-27,"AUTORIZA A EXTENSÃO DE USOS E ATIVIDADES PARA OS LOTES DO SETOR COMERCIAL SUL – SCS, NA REGIÃO ADMINISTRATIVA DO PLANO PILOTO – RA I, E DÁ OUTRAS PROVIDÊNCIAS."
2023,NOMINAL,6396,RECURSO Nº 1 /2023,2023-03-01,13,0,0,0,13,2026-08-27,"CONTRA A DECISÃO PUBLICADA NO DCL Nº 41, DE 15/02/2023 QUE INDEFERIU O REQUERIMENTO Nº 125/2023, DE AUTORIA DOS DEPUTADOS PAULA BELMONTE E MAX MACIEL, QUE REQUERERAM O APENSAMENTO DO PROJETO DE DECRETO LEGISLATIVO Nº 04/2023 AO PROJETO DE DECRETO LEGISLATIVO Nº 03/2023, EM VIRTUDE DA PREJUDICIALIDADE DO PROJETO DE DECRETO LEGISLATIVO Nº 04/2023 EM FACE DO PROJETO DE DECRETO LEGISLATIVO Nº 03/2023, NOS TERMOS DO ART. 175, INCISO VIII, DO REGIMENTO INTERNO DA CÂMARA LEGISLATIVA DO DISTRITO FEDERAL"
2023,NOMINAL,6397,BLOCO REQUERIMENTOS 01.03.2023,2023-03-01,14,0,0,0,14,2026-08-27,"REQUERIMENTOS Nº 169, 177, 178, 189, 190, 192, 194, 195, 197, 210, 212, 215 E 222, TODOS DE 2023."
2023,NOMINAL,6399,TURNO ÚNICO REQUERIMENTO Nº 217/2023,2023-03-01,16,0,0,0,16,2026-08-27,"REQUER A TRAMITAÇÃO EM REGINME DE URGÊNCIA DO PDL 03/2023, QUE SUSTA OS EFEITOS DO DECRETO Nº 43.899, DE 31 DE OUTUBRO DE 2022 E A PORTARIA Nº 5, DE 23 DE JANEIRO DE 2023, DA SECRETÁRIA DE ESTADO DE TRANSPORTE E MOBILIDADE, QUE DISPÕE SOBRE A VALIDADE DOS CRÉDITOS ARMAZENADOS NA FORMA DE VALORES MONETÁRIOS DO SISTEMA DE BILHETAGEM AUTOMÁTICA (SBA) DO SISTEMA DE TRANSPORTE INTELIGENTE (STI) DO SISTEMA DE TRANSPORTE PÚBLICO COLETIVO DO DISTRITO FEDERAL (STPC/DF) E DÁ OUTRAS PROVIDÊNCIAS."
2023,NOMINAL,6599,1º TURNO PROJETO DE LEI COMPLEMENTAR Nº 13/2023,2023-03-28,14,0,0,0,14,2026-08-27,"ALTERA DISPOSITIVOS DA LEI COMPLEMENTAR Nº 769, DE 30 DE JUNHO DE 2008, QUE REORGANIZA E UNIFICA O REGIME PRÓPRIO DE PREVIDÊNCIA SOCIAL DO DISTRITO FEDERAL - RPPS/DF E DÁ OUTRAS PROVIDÊNCIAS, PARA ACRESCENTAR DISPOSITIVOS SOBRE A APOSENTADORIA POR CUIDADOS MATERNOS."
