ano,tipo_votacao,co_materia,parlamentar,partido,voto,votos,as_of
2023,NOMINAL,1106,CHICO VIGILANTE,PT,SIM,1,2026-08-27
2023,NOMINAL,1106,DAYSE AMARILIO,PSB,SIM,1,2026-08-27
2023,NOMINAL,1106,EDUARDO PEDROSA,UNIÃO,SIM,1,2026-08-27
2023,NOMINAL,1106,FÁBIO FELIX,PSOL,SIM,1,2026-08-27
2023,NOMINAL,1106,GABRIEL MAGNO,PT,SIM,1,2026-08-27
2023,NOMINAL,1106,HERMETO,MDB,SIM,1,2026-08-27
2023,NOMINAL,1106,IOLANDO,MDB,SIM,1,2026-08-27
2023,NOMINAL,1106,JAQUELINE SILVA,NÃO INFORMADO,SIM,1,2026-08-27
2023,NOMINAL,1106,JOAQUIM RORIZ NETO,PL,SIM,1,2026-08-27
2023,NOMINAL,1106,JORGE VIANNA,PSD,SIM,1,2026-08-27
2023,NOMINAL,1106,MARTINS MACHADO,REPUBLICANOS,SIM,1,2026-08-27
2023,NOMINAL,1106,MAX MACIEL,PSOL,SIM,1,2026-08-27
2023,NOMINAL,1106,PASTOR DANIEL DE CASTRO,PP,SIM,1,2026-08-27
2023,NOMINAL,1106,PAULA BELMONTE,CIDADANIA,SIM,1,2026-08-27
2023,NOMINAL,1106,PEPA,PP,SIM,1,2026-08-27
2023,NOMINAL,1106,RICARDO VALE,PT,SIM,1,2026-08-27
2023,NOMINAL,1106,ROGERIO MORRO DA CRUZ,PMN,SIM,1,2026-08-27
2023,NOMINAL,1106,ROOSEVELT VILELA,PL,SIM,1,2026-08-27
2023,NOMINAL,1106,WELLINGTON LUIZ,MDB,SIM,1,2026-08-27
2023,NOMINAL,1405,CHICO VIGILANTE,PT,NAO,1,2026-08-27
2023,NOMINAL,1405,DANIEL DONIZET,MDB,NAO,1,2026-08-27
2023,NOMINAL,1405,DAYSE AMARILIO,PSB,NAO,1,2026-08-27
2023,NOMINAL,1405,DOUTORA JANE,MDB,NAO,1,2026-08-27
2023,NOMINAL,1405,EDUARDO PEDROSA,UNIÃO,NAO,1,2026-08-27
2023,NOMINAL,1405,FÁBIO FELIX,PSOL,NAO,1,2026-08-27
2023,NOMINAL,1405,GABRIEL MAGNO,PT,NAO,1,2026-08-27
2023,NOMINAL,1405,HERMETO,MDB,NAO,1,2026-08-27
2023,NOMINAL,1405,IOLANDO,MDB,NAO,1,2026-08-27
2023,NOMINAL,1405,JAQUELINE SILVA,MDB,NAO,1,2026-08-27
2023,NOMINAL,1405,JOAQUIM RORIZ NETO,PL,NAO,1,2026-08-27
2023,NOMINAL,1405,JORGE VIANNA,PSD,NAO,1,2026-08-27
2023,NOMINAL,1405,MARTINS MACHADO,REPUBLICANOS,NAO,1,2026-08-27
2023,NOMINAL,1405,MAX MACIEL,PSOL,NAO,1,2026-08-27
2023,NOMINAL,1405,PASTOR DANIEL DE CASTRO,PP,NAO,1,2026-08-27
2023,NOMINAL,1405,PAULA BELMONTE,CIDADANIA,NAO,1,2026-08-27
2023,NOMINAL,1405,PEPA,PP,NAO,1,2026-08-27
2023,NOMINAL,1405,RICARDO VALE,PT,NAO,1,2026-08-27
2023,NOMINAL,1405,ROBÉRIO NEGREIROS,PSD,NAO,1,2026-08-27
2023,NOMINAL,1405,ROGERIO MORRO DA CRUZ,NÃO INFORMADO,NAO,1,2026-08-27
2023,NOMINAL,1405,ROOSEVELT VILELA,PL,NAO,1,2026-08-27
2023,NOMINAL,1405,THIAGO MANZONI,PL,NAO,1,2026-08-27
2023,NOMINAL,1405,WELLINGTON LUIZ,MDB,NAO,1,2026-08-27
2023,NOMINAL,5724,CHICO VIGILANTE,PT,SIM,1,2026-08-27
2023,NOMINAL,5724,DANIEL DONIZET,MDB,SIM,1,2026-08-27
2023,NOMINAL,5724,DAYSE AMARILIO,PSB,SIM,1,2026-08-27
2023,NOMINAL,5724,DOUTORA JANE,MDB,SIM,1,2026-08-27
2023,NOMINAL,5724,EDUARDO PEDROSA,UNIÃO,SIM,1,2026-08-27
2023,NOMINAL,5724,FÁBIO FELIX,PSOL,SIM,1,2026-08-27
2023,NOMINAL,5724,GABRIEL MAGNO,PT,SIM,1,2026-08-27
2023,NOMINAL,5724,HERMETO,MDB,SIM,1,2026-08-27
2023,NOMINAL,5724,IOLANDO,MDB,SIM,1,2026-08-27
2023,NOMINAL,5724,JAQUELINE SILVA,MDB,SIM,1,2026-08-27
2023,NOMINAL,5724,JOAQUIM RORIZ NETO,PL,SIM,1,2026-08-27
2023,NOMINAL,5724,JORGE VIANNA,PSD,SIM,1,2026-08-27
2023,NOMINAL,5724,MARTINS MACHADO,REPUBLICANOS,SIM,1,2026-08-27
2023,NOMINAL,5724,MAX MACIEL,PSOL,SIM,1,2026-08-27
2023,NOMINAL,5724,PASTOR DANIEL DE CASTRO,PP,SIM,1,2026-08-27
2023,NOMINAL,5724,PEPA,PP,SIM,1,2026-08-27
2023,NOMINAL,5724,RICARDO VALE,PT,SIM,1,2026-08-27
2023,NOMINAL,5724,ROBÉRIO NEGREIROS,PSD,SIM,1,2026-08-27
2023,NOMINAL,5724,ROGERIO MORRO DA CRUZ,NÃO INFORMADO,SIM,1,2026-08-27
2023,NOMINAL,5724,ROOSEVELT VILELA,PL,SIM,1,2026-08-27
2023,NOMINAL,5724,THIAGO MANZONI,PL,SIM,1,2026-08-27
2023,NOMINAL,5724,WELLINGTON LUIZ,MDB,SIM,1,2026-08-27
2023,NOMINAL,5725,CHICO VIGILANTE,PT,SIM,1,2026-08-27
2023,NOMINAL,5725,DANIEL DONIZET,MDB,SIM,1,2026-08-27
2023,NOMINAL,5725,DAYSE AMARILIO,PSB,SIM,1,2026-08-27
2023,NOMINAL,5725,DOUTORA JANE,MDB,SIM,1,2026-08-27
2023,NOMINAL,5725,EDUARDO PEDROSA,UNIÃO,SIM,1,2026-08-27
2023,NOMINAL,5725,FÁBIO FELIX,PSOL,SIM,1,2026-08-27
2023,NOMINAL,5725,GABRIEL MAGNO,PT,SIM,1,2026-08-27
2023,NOMINAL,5725,HERMETO,MDB,SIM,1,2026-08-27
2023,NOMINAL,5725,IOLANDO,MDB,SIM,1,2026-08-27
2023,NOMINAL,5725,JAQUELINE SILVA,MDB,SIM,1,2026-08-27
2023,NOMINAL,5725,JOAQUIM RORIZ NETO,PL,SIM,1,2026-08-27
2023,NOMINAL,5725,MARTINS MACHADO,REPUBLICANOS,SIM,1,2026-08-27
2023,NOMINAL,5725,MAX MACIEL,PSOL,SIM,1,2026-08-27
2023,NOMINAL,5725,PASTOR DANIEL DE CASTRO,PP,SIM,1,2026-08-27
2023,NOMINAL,5725,PEPA,PP,SIM,1,2026-08-27
2023,NOMINAL,5725,RICARDO VALE,PT,SIM,1,2026-08-27
2023,NOMINAL,5725,ROBÉRIO NEGREIROS,PSD,SIM,1,2026-08-27
2023,NOMINAL,5725,ROGERIO MORRO DA CRUZ,NÃO INFORMADO,SIM,1,2026-08-27
2023,NOMINAL,5725,ROOSEVELT VILELA,PL,SIM,1,2026-08-27
2023,NOMINAL,5725,THIAGO MANZONI,PL,SIM,1,2026-08-27
2023,NOMINAL,5725,WELLINGTON LUIZ,MDB,SIM,1,2026-08-27
